1,12524,12812,5544
2,12525,12802,5121
3,12689,12868,4804
4,12689,12962,6177
5,12690,12890,4118
6,12730,12890,6336
7,12744,12851,2428
8,12751,12965,5332
9,12753,12939,5068
10,12754,12914,3748
11,12790,12956,4963
12,12799,12950,3907
13,12801,12943,3590
14,12802,12525,5121
15,12802,12812,1636
16,12802,12885,1531
17,12809,12952,3748
18,12812,12524,5544
19,12812,12802,1636
20,12812,12851,2798
21,12812,12976,3801
22,12828,12905,1795
23,12844,12885,3379
24,12851,12744,2428
25,12851,12812,2798
26,12851,12880,2006
27,12851,12970,2956
28,12855,12918,2376
29,12856,12961,2692
30,12858,12927,1900
31,12862,12918,2217
32,12868,12689,4804
33,12868,12943,2956
34,12880,12851,2006
35,12880,12914,2112
36,12880,12969,2323
37,12885,12802,1531
38,12885,12844,3379
39,12885,13089,4910
40,12890,12690,4118
41,12890,12730,6336
42,12890,12944,2904
43,12890,12975,2112
44,12905,12927,792
45,12905,13003,2534
46,12914,12754,3748
47,12914,12880,2112
48,12914,12939,2270
49,12914,12968,1531
50,12918,12855,2376
51,12918,12862,2217
52,12918,12947,686
53,12918,12948,792
54,12927,12858,1900
55,12927,12953,1267
56,12928,12976,5649
57,12939,12753,5068
58,12939,12914,2270
59,12939,12966,1267
60,12939,12967,369
61,12943,12801,3590
62,12943,12868,2956
63,12943,12957,264
64,12943,12958,158
65,12944,12890,2904
66,12944,12963,528
67,12944,12964,264
68,12947,12918,686
69,12947,12948,422
70,12947,12960,2640
71,12947,13115,3062
72,12948,12918,792
73,12948,12947,422
74,12948,12961,2217
75,12948,13107,3220
76,12949,12950,2270
77,12949,12961,316
78,12949,13108,2534
79,12950,12799,3907
80,12950,12949,2270
81,12950,12951,316
82,12951,12950,316
83,12951,12952,2270
84,12951,13110,2534
85,12952,12809,3748
86,12952,12951,2270
87,12952,12953,2270
88,12952,13205,5280
89,12953,12927,1267
90,12953,12952,2270
91,12953,12954,316
92,12953,13049,1584
93,12954,12953,316
94,12954,12955,316
95,12954,13003,739
96,12954,13050,1531
97,12955,12859,2640
98,12955,12954,316
99,12955,12956,897
100,12955,13010,739
101,12956,12790,4963
102,12956,12955,897
103,12956,12957,4224
104,12956,13055,2112
105,12957,12943,264
106,12957,12956,4224
107,12957,12958,264
108,12957,13211,6600
109,12958,12943,158
110,12958,12957,264
111,12958,12962,5068
112,12958,13202,5280
113,12960,12947,2640
114,12961,12856,2692
115,12961,12948,2217
116,12961,12949,316
117,12962,12689,6177
118,12962,12958,5068
119,12962,12963,2270
120,12962,13051,1478
121,12963,12944,528
122,12963,12962,2270
123,12963,12964,264
124,12963,13027,2112
125,12964,12944,264
126,12964,12963,264
127,12964,12975,2798
128,12964,13021,1003
129,12965,12751,5332
130,12965,12966,2164
131,12965,12975,5280
132,12965,13000,528
133,12966,12939,1267
134,12966,12965,2164
135,12966,12967,1161
136,12966,13000,2112
137,12967,12939,369
138,12967,12966,1161
139,12967,12968,1953
140,12967,13065,1742
141,12968,12914,1531
142,12968,12967,1953
143,12968,12969,2006
144,12968,13066,1636
