P1,104221
P2,104223
P3,104780
P4,104781
P5,105169
P6,105407
P7,104035
P8,103826
P9,104201
P10,105438
P11,105020
P12,106203
P13,105404
P14,104220
P15,105715
P16,105838
P17,105841
P18,103854
P19,103855
P20,104224
P21,105216
P22,106030
P23,104615
P24,104017
P25,104590
P26,104592
P27,105835
P28,105820
P29,106040
P30,104431
P31,105618
P32,104591
P33,105214
P34,105990
P35,104997
P36,105515
P37,104611
P38,106170
P39,106172
P40,104226
P41,105625
P42,104399
P43,106400
P44,103998
P45,104523
P46,106227
P47,106419
P48,106805
P49,106608
P50,104645
P51,104808
P52,104405
P53,106575
P54,106583
P55,104618
P56,104802
P57,105171
P58,104192
P59,106108
P60,103949
P61,106810
P62,104634
P63,105022
P64,104830
P65,106368
P66,104811
P67,106029
P68,104020
P69,104006
P70,106204
P71,106220
P72,105788
P73,104007
P74,105396
P75,105174
P76,106303
P77,103952
P78,103907
P79,105191
P80,105825
P81,105005
P82,104199
P83,104583
P84,104563
P85,104913
P86,103999
P87,106809
P88,106551
P89,104976
P90,106411
P91,106970
P92,104600
P93,104211
P94,105395
P95,104188
P96,104194
P97,105425
P98,105399
P99,103832
P100,106749
P101,106941
P102,104402
P103,104397
P104,108096
P105,104005
P106,106989
P107,104989
P108,108122
P109,104200
P110,103995
P111,104197
P112,107164
P113,103851
P114,106988
P115,107185
P116,104977
P117,107949
P118,104189
P119,107457
P120,107553
P121,104992
P122,104642
P123,104643
P124,106197
P125,104381
P126,104589
P127,103820
P128,104025
P129,104614
P130,104333
P131,104334
P132,104528
P133,104530
P134,104445
P135,105168
P136,107765
P137,108144
P138,107580
P139,106208
P140,105623
P141,103833
P142,106795
P143,104379
P144,105627
P145,103858
P146,104052
P147,107751
P148,104783
P149,106976
P150,105991
P151,106774
P152,107161
P153,105573
P154,104885
P155,107843
P156,105754
P157,105342
P158,104374
P159,105778
P160,104126
P161,107522
P162,105976
P163,107183
P164,108678
P165,104588
P166,107943
P167,107337
P168,106768
P169,104789
P170,103996
P171,104350
P172,105514
P173,104086
P174,106684
P175,104375
P176,104377
P177,104774
P178,108340
P179,108342
P180,104999
P181,107706
P182,107902
P183,107903
P184,106554
P185,105014
P186,105608
P187,106776
P188,105182
P189,104785
P190,104593
P191,105974
P192,103873
P193,104923
P194,105106
P195,104775
P196,104778
P197,104779
P198,107155
P199,106015
P200,104429
P201,106576
P202,104406
P203,104612
P204,103947
P205,105626
P206,106798
P207,107739
P208,104978
P209,105379
P210,105176
P211,105588
P212,103815
P213,106942
P214,104286
P215,104110
P216,104324
P217,104970
P218,104973
P219,109102
P220,107384
P221,107388
P222,103837
P223,103831
P224,104142
P225,108279
P226,107754
P227,105827
P228,106773
P229,106578
P230,104202
P231,106392
P232,106380
P233,106760
P234,104013
P235,104988
P236,105161
P237,105918
P238,104644
P239,104485
P240,104685
P241,104490
P242,105297
P243,103946
P244,105029
P245,105605
P246,108474
P247,108303
P248,105586
P249,105980
P250,104356
P251,104732
P252,105549
P253,104741
P254,104742
P255,108604
P256,106342
P257,105480
P258,106083
P259,104605
P260,107581
P261,106032
P262,106982
P263,103825
P264,107175
P265,105606
P266,104613
P267,104609
P268,105517
P269,104916
P270,107569
P271,107728
P272,107932
P273,105386
P274,106565
P275,106381
P276,106872
P277,105532
P278,103970
P279,106329
P280,104158
P281,104159
P282,105920
P283,105635
P284,104093
P285,108088
P286,106807
P287,107767
P288,104815
P289,106293
P290,104627
P291,105823
P292,107372
P293,103942
P294,106033
P295,105798
P296,106003
P297,104222
P298,108862
P299,109048
P300,105604
P301,104393
P302,107946
P303,107744
P304,106771
P305,105019
P306,109286
P307,104014
P308,105781
P309,105977
P310,106371
P311,108906
P312,106759
P313,106574
P314,106954
P315,105768
P316,105335
P317,106302
P318,105118
P319,105317
P320,108991
P321,104883
P322,104190
P323,105166
P324,104376
P325,106747
P326,103935
P327,104527
P328,106390
P329,106024
P330,106944
P331,108291
P332,104782
P333,107729
P334,108673
P335,107129
P336,105769
P337,104329
P338,105135
P339,107840
P340,109378
P341,104437
P342,103882
P343,105365
P344,105366
P345,105369
P346,108518
P347,107576
P348,104723
P349,106316
P350,106192
P351,106193
P352,104809
P353,109239
P354,109241
P355,107333
P356,108132
P357,106804
P358,106993
P359,105025
P360,105017
P361,106174
P362,106175
P363,109079
P364,110028
P365,107906
P366,108089
P367,105988
P368,104140
P369,106876
P370,105523
P371,105524
P372,103872
P373,105840
P374,104464
P375,105105
P376,104566
P377,104195
P378,104307
P379,105372
P380,105574
P381,105575
P382,104993
P383,107904
P384,108086
P385,103822
P386,108325
P387,106393
P388,108691
P389,105113
P390,109435
P391,109628
P392,104791
P393,105385
P394,109275
P395,106372
P396,109861
P397,106370
P398,106552
P399,106196
P400,105771
P401,105969
P402,106322
P403,108415
P404,105681
P405,104585
P406,104773
P407,105774
P408,105776
P409,104318
P410,107746
P411,106483
P412,105206
P413,105001
P414,105401
P415,105114
P416,109476
P417,107546
P418,105428
P419,103853
P420,108697
P421,108108
P422,105181
P423,109248
P424,105805
P425,104758
P426,105544
P427,105333
P428,103948
P429,103951
P430,106115
P431,104922
P432,105434
P433,104176
P434,103928
P435,104971
P436,105968
P437,105160
P438,106424
P439,104991
P440,104317
P441,104028
P442,106195
P443,106111
P444,109815
P445,105992
P446,107907
P447,107543
P448,109287
P449,107721
P450,106553
P451,106751
P452,109657
P453,107927
P454,108031
P455,107697
P456,106914
P457,104147
P458,104323
P459,106613
P460,104044
P461,103939
P462,110619
P463,105097
P464,105908
P465,104907
P466,106394
P467,106577
P468,105194
P469,104027
P470,105922
P471,106761
P472,106409
P473,107755
P474,108525
P475,107131
P476,107948
P477,109486
P478,105204
P479,106752
P480,106943
P481,109449
P482,106580
P483,105972
P484,103972
P485,104730
P486,105919
P487,107271
P488,104529
P489,105306
P490,107961
P491,107812
P492,105993
P493,105995
P494,104708
P495,106966
P496,109076
P497,108501
P498,110406
P499,107926
P500,104432
P501,107563
P502,107376
P503,110044
P504,109466
P505,107707
P506,105822
P507,105780
P508,107709
P509,107905
P510,108479
P511,110045
P512,109063
P513,107529
P514,108494
P515,108669
P516,109049
P517,106895
P518,106134
P519,105939
P520,104728
P521,110318
P522,105925
P523,104423
P524,104956
P525,107764
P526,107370
P527,104210
P528,104994
P529,105707
P530,107643
P531,103922
P532,104410
P533,105376
P534,104143
P535,105109
P536,106969
P537,107157
P538,105002
P539,105007
P540,107075
P541,106687
P542,109847
P543,108138
P544,108716
P545,110786
P546,109669
P547,109272
P548,107134
P549,109051
P550,109242
P551,105345
P552,104149
P553,106132
P554,104750
P555,107079
P556,105926
P557,103821
P558,107768
P559,104880
P560,104163
P561,110054
P562,104797
P563,110222
P564,105800
P565,105801
P566,109816
P567,105982
P568,104434
P569,110799
